City,Link,Time,Temperature F,Temperature C,Longitude,Latitude
Bishkek,https://www.timeanddate.com/weather/kyrgyzstan/bishkek,2026-01-01 08:16:00,67,19.444444444444446,42.8761424,74.6036724
Bissau,https://www.timeanddate.com/weather/guinea-bissau/bissau,2026-01-01 02:16:00,81,27.222222222222225,11.861324,-15.583055
Bogota,https://www.timeanddate.com/weather/colombia/bogota,2026-01-01 21:16:00,55,12.777777777777779,4.6533817,-74.0836331
Brades,https://www.timeanddate.com/weather/montserrat/brades,2026-01-01 22:16:00,81,27.222222222222225,16.7898749,-62.2099434
Brasilia,https://www.timeanddate.com/weather/brazil/brasilia,2026-01-01 23:16:00,68,20.0,-10.3333333,-53.2
Bratislava,https://www.timeanddate.com/weather/slovakia/bratislava,2026-01-01 04:16:00,66,18.88888888888889,48.1516988,17.1093063
Brazzaville,https://www.timeanddate.com/weather/congo/brazzaville,2026-01-01 03:16:00,70,21.11111111111111,-4.2694407,15.2712256
Bridgetown,https://www.timeanddate.com/weather/barbados/bridgetown,2026-01-01 22:16:00,79,26.11111111111111,13.0977832,-59.6184184
Brussels,https://www.timeanddate.com/weather/belgium/brussels,2026-01-01 04:16:00,61,16.11111111111111,50.8467372,4.352493
Bucharest,https://www.timeanddate.com/weather/romania/bucharest,2026-01-01 05:16:00,59,15.0,44.4361414,26.102684
Budapest,https://www.timeanddate.com/weather/hungary/budapest,2026-01-01 04:16:00,68,20.0,47.4978789,19.0402383
Buenos Aires,https://www.timeanddate.com/weather/argentina/buenos-aires,2026-01-01 23:16:00,57,13.88888888888889,-34.6095579,-58.3887904
Cairo,https://www.timeanddate.com/weather/egypt/cairo,2026-01-01 05:16:00,73,22.77777777777778,30.0443879,31.2357257
Canberra,https://www.timeanddate.com/weather/australia/canberra,2026-01-01 12:16:00,55,12.777777777777779,-35.2975906,149.1012676
Caracas,https://www.timeanddate.com/weather/venezuela/caracas,2026-01-01 22:16:00,81,27.222222222222225,10.5060934,-66.9146008
Castries,https://www.timeanddate.com/weather/saint-lucia/castries,2026-01-01 22:16:00,81,27.222222222222225,43.6779101,3.9868904
Chișinău,https://www.timeanddate.com/weather/moldova/chisinau,2026-01-01 05:16:00,52,11.11111111111111,47.0245117,28.8322923
Copenhagen,https://www.timeanddate.com/weather/denmark/copenhagen,2026-01-01 04:16:00,54,12.222222222222223,55.6867243,12.5700724
Dakar,https://www.timeanddate.com/weather/senegal/dakar,2026-01-01 02:16:00,77,25.0,14.693425,-17.447938
Damascus,https://www.timeanddate.com/weather/syria/damascus,2026-01-01 05:16:00,61,16.11111111111111,45.4176261,-122.458985
Dhaka,https://www.timeanddate.com/weather/bangladesh/dhaka,2026-01-01 08:16:00,84,28.88888888888889,23.7643863,90.3890144
Dodoma,https://www.timeanddate.com/weather/tanzania/dodoma,2026-01-01 05:16:00,66,18.88888888888889,-6.1791181,35.7468174
Doha,https://www.timeanddate.com/weather/qatar/doha,2026-01-01 05:16:00,90,32.22222222222222,25.3108807,51.5081812
Douglas,https://www.timeanddate.com/weather/isle-of-man/douglas,2026-01-01 03:16:00,55,12.777777777777779,39.7628415,-88.2170516
Dublin,https://www.timeanddate.com/weather/ireland/dublin,2026-01-01 03:16:00,59,15.0,53.3493795,-6.2605593
Dushanbe,https://www.timeanddate.com/weather/tajikistan/dushanbe,2026-01-01 07:16:00,79,26.11111111111111,38.5767045,68.785433
Freetown,https://www.timeanddate.com/weather/sierra-leone/freetown,2026-01-01 02:16:00,79,26.11111111111111,8.479004,-13.26795
Funafuti,https://www.timeanddate.com/weather/tuvalu/funafuti,2026-01-01 14:16:00,90,32.22222222222222,-8.5199633,179.1982548
Gaborone,https://www.timeanddate.com/weather/botswana/gaborone,2026-01-01 04:16:00,50,10.0,-24.6581357,25.9088474
George Town (Cayman Islands),https://www.timeanddate.com/weather/cayman-islands/george-town,2026-01-01 21:16:00,84,28.88888888888889,19.2953549,-81.3807776
Georgetown (Guyana),https://www.timeanddate.com/weather/guyana/georgetown,2026-01-01 22:16:00,80,26.666666666666668,6.8032561,-58.1455403
Gibraltar,https://www.timeanddate.com/weather/gibraltar/gibraltar,2026-01-01 04:16:00,72,22.22222222222222,36.1285933,-5.3474761
Gizo,https://www.timeanddate.com/weather/solomon-islands/gizo,2026-01-01 13:16:00,86,30.0,29.9870753,31.2118063
Guatemala City,https://www.timeanddate.com/weather/guatemala/guatemala,2026-01-01 20:16:00,68,20.0,14.6416142,-90.5132836
Hamilton,https://www.timeanddate.com/weather/bermuda/hamilton,2026-01-01 23:16:00,79,26.11111111111111,43.2560802,-79.8728583
Hanoi,https://www.timeanddate.com/weather/vietnam/hanoi,2026-01-01 09:16:00,84,28.88888888888889,21.0283334,105.854041
Harare,https://www.timeanddate.com/weather/zimbabwe/harare,2026-01-01 04:16:00,46,7.777777777777779,-17.8567035,31.0601584
Havana,https://www.timeanddate.com/weather/cuba/havana,2026-01-01 22:16:00,81,27.222222222222225,23.135305,-82.3589631
Helsinki,https://www.timeanddate.com/weather/finland/helsinki,2026-01-01 05:16:00,55,12.777777777777779,60.1666204,24.9435408
Honiara,https://www.timeanddate.com/weather/solomon-islands/honiara,2026-01-01 13:16:00,88,31.111111111111114,-9.4310769,159.9552552
Islamabad,https://www.timeanddate.com/weather/pakistan/islamabad,2026-01-01 07:16:00,79,26.11111111111111,33.6938118,73.0651511
Jakarta,https://www.timeanddate.com/weather/indonesia/jakarta,2026-01-01 09:16:00,83,28.333333333333336,-6.1754049,106.827168
Jerusalem,https://www.timeanddate.com/weather/israel/jerusalem,2026-01-01 05:16:00,66,18.88888888888889,31.7788472,35.2257856
Kampala,https://www.timeanddate.com/weather/uganda/kampala,2026-01-01 05:16:00,70,21.11111111111111,0.3177137,32.5813539
Kathmandu,https://www.timeanddate.com/weather/nepal/kathmandu,2026-01-01 08:01:00,73,22.77777777777778,27.708317,85.3205817
Kigali,https://www.timeanddate.com/weather/rwanda/kigali,2026-01-01 04:16:00,63,17.22222222222222,-1.9534357,30.1140089
Kingston,https://www.timeanddate.com/weather/jamaica/kingston,2026-01-01 21:16:00,83,28.333333333333336,17.9712148,-76.7928128
Kingstown,https://www.timeanddate.com/weather/saint-vincent-and-grenadines/kingstown,2026-01-01 22:16:00,81,27.222222222222225,13.1561864,-61.2279621
Kinshasa,https://www.timeanddate.com/weather/congo-demrep/kinshasa,2026-01-01 03:16:00,70,21.11111111111111,-4.3196982,15.3424196
Kuala Lumpur,https://www.timeanddate.com/weather/malaysia/kuala-lumpur,2026-01-01 10:16:00,77,25.0,3.1516964,101.6942371
Kuwait City,https://www.timeanddate.com/weather/kuwait/kuwait-city,2026-01-01 05:16:00,92,33.333333333333336,29.3796532,47.9734174
Kyiv,https://www.timeanddate.com/weather/ukraine/kyiv,2026-01-01 05:16:00,57,13.88888888888889,50.4500336,30.5241361
Libreville,https://www.timeanddate.com/weather/gabon/libreville,2026-01-01 03:16:00,77,25.0,0.4086518,9.4418849
Lima,https://www.timeanddate.com/weather/peru/lima,2026-01-01 21:16:00,73,22.77777777777778,-12.0459808,-77.0305912
Lisbon,https://www.timeanddate.com/weather/portugal/lisbon,2026-01-01 03:16:00,64,17.77777777777778,38.7077507,-9.1365919
Ljubljana,https://www.timeanddate.com/weather/slovenia/ljubljana,2026-01-01 04:16:00,59,15.0,46.0500268,14.5069289
Lomé,https://www.timeanddate.com/weather/togo/lome,2026-01-01 02:16:00,81,27.222222222222225,6.130419,1.215829
London,https://www.timeanddate.com/weather/uk/london,2026-01-01 03:16:00,63,17.22222222222222,51.5074456,-0.1277653
Luanda,https://www.timeanddate.com/weather/angola/luanda,2026-01-01 03:16:00,72,22.22222222222222,-8.8272699,13.2439512
Luxembourg,https://www.timeanddate.com/weather/luxembourg/luxembourg,2026-01-01 04:16:00,61,16.11111111111111,49.8158683,6.1296751
Madrid,https://www.timeanddate.com/weather/spain/madrid,2026-01-01 04:16:00,75,23.88888888888889,40.416782,-3.703507
Majuro,https://www.timeanddate.com/weather/marshall-islands/majuro,2026-01-01 14:16:00,85,29.444444444444446,7.0909924,171.3816354
